word,id,property,question,sparql
  ,389,starring,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film $ dbo:starring res:Mickey_Rourke $ dbo:director res:Guy_Ritchie },Which movies starring Mickey Rourke were directed by Guy Ritchie? [starring=dbo:starring]
,9,starring,SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner $ dbo:starring res:William_Shatner { ?x dbo:starring ?uri } UNION { ?x dbp:starring ?uri } },Give me all actors starring in movies directed by and starring William Shatner. [starring_in=dbo:starring]
  ,286,starring,SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner $ dbo:starring ?uri },Give me all actors starring in movies directed by William Shatner. [starring_in=dbo:starring]
  ,314,starring,ASK WHERE { res:Velvet_Goldmine dbo:starring res:Christian_Bale },Is Christian Bale starring in Velvet Goldmine? [starring_in=dbo:starring]
  ,345,starring,SELECT DISTINCT ?uri WHERE { ?film rdf:type dbo:Film $ dbo:country res:Spain $ dbo:producer res:Benicio_del_Toro $ dbo:starring ?uri . ?uri rdf:type dbo:Person },Who is starring in Spanish movies produced by Benicio del Toro? [starring_in=dbo:starring]
  ,412,starring,SELECT DISTINCT ?uri WHERE { res:Last_Action_Hero dbo:starring ?uri },Give me all actors starring in Last Action Hero. [starring_in=dbo:starring]
start,205,sourceCountry,SELECT DISTINCT ?uri WHERE { res:Nile dbo:sourceCountry ?uri },In which country does the Nile start? [start=dbo:sourceCountry]
  ,281,date,SELECT ?Date WHERE { dbr:2018_FIFA_World_Cup dbp:date ?Date } ORDER BY DESC(?Date) LIMIT 1,When will start the final match of the football world cup 2018 [start=dbp:date]?
  ,395,sourceCountry,SELECT DISTINCT ?uri WHERE { res:Ganges dbo:sourceCountry ?uri },In which country does the Ganges start? [start=dbo:sourceCountry]
study,67,almaMater,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eiffel_Tower> <http://dbpedia.org/ontology/architect> ?x . ?x <http://dbpedia.org/property/almaMater> ?uri },Where did the architect of the Eiffel Tower study? [study=dbo:almaMater]
,100,almaMater,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Writer> { ?uri <http://dbpedia.org/ontology/almaMater> ?x } UNION { ?uri <http://dbpedia.org/ontology/education> ?x } { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Istanbul> } UNION { ?x <http://dbpedia.org/property/city> <http://dbpedia.org/resource/Istanbul> } },Which writers studied in Istanbul? [studied_in=dbo:almaMater]
succeed,72,successor,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pope_John_Paul_II> <http://dbpedia.org/property/successor> ?uri },Which pope succeeded John Paul II? [succeeded=dbo:successor]
win,33,award,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Writer> $ <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Nobel_Prize_in_Literature> },Give me all writers that won the Nobel Prize in literature.[won=dbo:award]
  ,221,award,SELECT DISTINCT ?uri WHERE { res:Douglas_Hofstadter dbo:award ?uri },Which awards did Douglas Hofstadter win? [win=dbo:award]
  ,309,award,ASK WHERE { res:Aki_Kaurism??ki dbo:award <http://dbpedia.org/resource/Grand_Prix_(Cannes_Film_Festival)> },Did Kaurism??ki ever win the Grand Prix at Cannes? [win=dbo:award]
  ,326,award,ASK WHERE { res:Nikola_Tesla dbo:award res:Nobel_Prize_in_Physics },Did Tesla win a nobel prize in physics? [win=bo:award]
write,21,author,SELECT DISTINCT ?uri WHERE { res:The_Pillars_of_the_Earth dbo:author ?uri },Who wrote the book The pillars of the Earth? [wrote=dbo:author]
  ,121,author,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Poet> . ?x <http://dbpedia.org/ontology/author> ?uri . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . } ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1,Which poet wrote the most books? [wrote=dbo:author]
  ,123,author,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Musician> . ?x <http://dbpedia.org/ontology/author> ?uri . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . } ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1,Which musician wrote the most books? [wrote=dbo:author]
  ,129,author,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Hunger_Games> <http://dbpedia.org/property/author> ?uri },Who wrote The Hunger Games? [wrote=dbo:author]
  ,195,author,SELECT DISTINCT ?uri WHERE { res:The_Pillars_of_the_Earth dbo:author ?uri },Who wrote the book Les Piliers de la terre? [wrote=dbo:author]
  ,335,author,SELECT DISTINCT ?uri WHERE { res:The_Pillars_of_the_Earth dbo:author ?uri },Who wrote the book The Pillars of the Earth? [wrote=dbo:author]
  ,379,writer,SELECT DISTINCT ?uri WHERE { res:Hotel_California dbo:writer ?uri },Who wrote the song Hotel California? [wrote=dbo:writer]
  ,383,author,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Book $ dbo:author res:Muhammad_Ali },Show me the book that Muhammad Ali wrote. [wrote=dbo:author]
  ,397,composer,SELECT DISTINCT ?uri WHERE { res:Game_of_Thrones dbo:composer ?uri },Who wrote the Game of Thrones theme? [wrote=dbo:composer]
  ,401,editor,SELECT ?uri WHERE { <http://dbpedia.org/resource/Farmers'_Almanac> dbp:editor ?uri },Who writes the Farmers' Almanac? [writes=dbp:editor]
written_by,109,author,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Book> $ <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Danielle_Steel> },Give me all books written by Danielle Steel. [written_by=dbo:author]
  ,119,author,SELECT ?books WHERE { ?books dbo:author <http://dbpedia.org/resource/John_Green_(author)> },What other books have been written by the author of The Fault in Our Stars? [written_by=dbo:author]
